 op_mp  , op_gen , ow_avg , chp_mp , chp_gen 
53,6,13,0.33,0.33
53,0,6.31,0.13,0.13
0,0,4.78,0.17,0.33
0,0,0.17,0.01,0.02
33,0,1.71,0.15,0.18
0,0,0.2,0.02,0.02
0,0,0.4,0.02,0.02
0,0,0.68,0.01,0.01
0,3,13.25,0.27,2.51
0,0,0.06,0.06,0.06
0,0,0.8,0.03,0.18
0,0,0.23,0.04,0.04
100,0,0.23,0.1,0.1
25,0,6.45,1.52,1.22
0,0,0.25,0.07,0.07
0,0,0.03,0.03,0.03
0,0,2.66,0.09,0.26
23,8,17.08,2.7,2.7
92,0,36.19,4.64,4.64
64,0,0.29,0.01,0.02
0,0,0.19,0.03,0.07
62,0,6.95,0.25,0.68
100,0,5.31,0.03,0.84
56,23,34.71,1.74,4.47
0,0,0.99,0.05,0.06
100,0,0.88,0.14,0.14
100,0,3.57,0.04,0.04
0,0,0.09,0.06,0.04
100,0,12.88,0.04,0.04
86,57,58.73,0.33,0.33
86,0,8.39,2.3,1.37
25,11,12.97,0.65,1
52,3,8.07,0.26,0.24
64,0,1.45,0.05,0.05
60,0,3.83,0.05,0.2
100,0,0.48,0.2,0.2
0,0,2,0.21,0.21
0,0,0.04,0.01,0.01
13,0,15.81,0.37,1.11
50,0,25.08,0.96,0.96
50,0,0.61,0.05,0.05
28,0,2.92,0.72,1.54
22,7,19.63,1.24,0.98
48,27,41.23,0.76,0.73
50,8,27.17,4.94,3.98
0,0,0.41,0.08,0.08
0,0,0.66,0.17,0.17
0,0,8.4,0.2,0.2
67,0,2.5,0.03,0.03
64,2,21.53,2.95,1.96
100,0,48.18,2.15,20.41
100,0,12.94,0.87,0.87
100,0,5.25,0.3,0.51
0,0,0.78,0.18,0.18
0,0,0.66,0.02,0.02
50,33,58.45,0.71,10.63
0,40,48.96,0.22,5.07
50,50,51.07,2.93,2.93
40,41,46.78,1.15,1.69
0,0,3.49,0.18,0.94
0,0,0.04,0.04,0.04
0,0,0.15,0.46,0.19
0,0,0.15,0.16,0.16
39,0,6.13,0.3,0.44
0,0,0.01,0.02,0.02
25,0,0.66,0.27,0.32
40,25,22.45,1.79,2.24
14,0,3.08,0.22,0.22
100,0,0.6,0.53,0.29
0,0,40.74,1.91,1.91
44,0,8.44,0.62,1.13
100,0,6.65,1.21,1.21
50,0,7.8,0.86,0.86
86,14,16.19,1.55,1.55
0,0,1.73,0.08,0.1
54,12,21.82,0.55,0.88
100,0,5.41,0.04,0.04
11,0,0.93,0.02,0.02
0,0,0.04,0.04,0.04
9,3,6.55,0.05,0.06
0,11,12.04,2.78,2.79
0,0,0.09,0.02,0.03
0,0,0.05,0.06,0.06
36,3,13.14,2.48,2.82
52,0,14.6,0.65,0.88
50,0,0.62,0.11,0.08
0,0,0.07,0.02,0.02
60,0,1.85,0.31,0.31
0,0,0.23,0.02,0.03
58,11,20.19,0.19,0.46
0,0,3.74,0.78,0.87
20,0,2.16,0.38,0.38
0,0,0.24,0.07,0.07
30,6,17.5,1.2,2.59
27,3,13.91,0.79,2.07
100,0,44.44,0.04,0.04
0,10,17.33,0.13,1.68
0,0,1.08,0.4,0.4
0,0,0.04,0.02,0.02
100,0,9.84,0.06,0.06
100,0,0.34,0.02,0.02
29,0,0.17,0.04,0.04
82,0,0.4,0.03,0.03
62,0,4.84,0.14,0.18
52,1,5.55,0.07,0.22
25,0,25.76,4.25,32.44
0,0,2.18,0.38,0.38
0,0,1.12,1.33,1.33
0,0,0.22,0.05,0.05
0,0,0.13,0.02,0.02
0,0,1.57,0.03,0.04
33,0,2.52,0.22,0.25
78,0,22.64,1.11,0.98
0,0,0.24,0.02,0.02
18,4,6.61,0.13,0.21
0,26,42.76,0.05,1.33
19,0,4.78,0.42,0.58
0,0,0.11,0.07,0.07
17,0,0.47,0.32,0.17
54,4,12.24,0.57,0.53
0,0,3.16,0.09,0.15
18,4,7.35,0.54,0.8
21,2,13.33,0.05,0.24
100,0,3.37,2.74,1.28
0,0,0.02,0.02,0.02
0,0,5.17,0.02,0.15
0,0,5.74,1.23,1.23
33,0,11.02,0.69,0.87
0,0,0.32,0.04,0.04
35,0,2.42,0.39,0.48
100,0,0.71,0.06,0.06
60,16,26.49,0.84,1.46
67,23,32.46,0.14,0.69
34,3,21.82,0.26,1.32
55,0,31.39,1.99,2.33
71,0,7.83,0.21,0.36
0,0,0.15,0.05,0.05
100,0,1.32,0.25,0.18
100,0,44.54,10.15,10.15
0,0,26.98,3.34,3.34
80,0,12.76,4.75,2.12
0,0,0.06,0.03,0.03
79,18,43.54,4.37,8.44
41,2,7.04,0.25,0.33
25,0,0.74,0.13,0.13
50,0,0.68,0.02,0.02
33,0,0.51,0.17,0.17
50,0,8.52,0.4,0.27
42,9,11.21,0.25,0.92
38,0,5.72,0.61,0.44
49,12,18.73,0.54,0.57
100,0,0.63,0.04,0.04
33,0,1.19,0.08,0.07
0,11,18.57,0.16,0.27
38,11,16.24,1.18,1.23
0,7,8.67,0.02,0.49
100,0,0.07,0.02,0.02
0,0,0.43,0.31,0.31
0,0,0.43,0.06,0.04
75,3,11.14,0.19,0.41
79,0,7.77,0.37,0.28
50,2,23.02,0.51,0.92
0,0,0.37,0.09,0.09
0,0,2.1,0.19,0.32
